city,link,price,title,location,builtArea,usableArea,bedrooms,bathrooms,floor,age,condition,garage,orientation,energyCertificate,communityExpenses,airConditioning,elevator,houseHeating,houseHeatingType,terrace,swimmingPool,swimmingPoolType,houseType,photo,postal_code,lat,lon
malaga,https://www.pisos.com/comprar/apartamento-parque_de_la_paloma29630-34197920381_998301/,110.000,Finca rústica en venta en Calle Pizarra,Casillas de Díaz (Pizarra),,,2.0,1.0,,,A reformar,,,,,,False,False,,False,False,,,https://fotos.imghs.net/l/513441/27515575167.513441/513441_27515575167_4_20220922101308921.jpg,29560.0,36.76719717,-4.70872909
malaga,https://www.pisos.com/comprar/apartamento-mijas_pueblo_sierra29650-32548916245_105300/,3.800.000,Casa en venta en Los Naranjos-Las Brisas,Los Naranjos-Las Brisas (Distrito Nueva Andalucía. Marbella),380.0,,5.0,5.0,,,,,,,,,False,False,,False,True,,,https://fotos.imghs.net/l/1053/799/1053_RS9-R4326799_1_2023052516443531250.jpg,29601.0,36.50963847,-4.88406637
malaga,https://www.pisos.com/comprar/piso-calaburras_el_chaparral29649-34249067136_523941/,103.000,Piso en venta en Boquetillo,Boquetillo (Fuengirola),66.0,62.0,2.0,1.0,,Más de 50 años,A reformar,,,,,,False,False,,True,False,,,https://fotos.imghs.net/l/1067/819/1067_IFC281-0520491819_1_2023060810264831250.jpg,29640.0,36.53902839,-4.62378308
malaga,https://www.pisos.com/comprar/piso-santangelo_norte29639-35003294000_100200/,460.000,Casa adosada en venta en Benahavís,Benahavís,131.0,,3.0,3.0,,,,,,,,,False,False,,False,True,,Adosada,https://fotos.imghs.net/l/1053/387/1053_RS9-R3211387_1_2023030909011931250.jpg,29679.0,36.52379908,-5.04654321
malaga,https://www.pisos.com/comprar/apartamento-puerto_deportivo-35025375318_106700/,570.000,Piso en venta en La Malagueta - Plaza de Toros,La Malagueta-Monte Sancha (Distrito Centro. Málaga Capital),128.0,128.0,3.0,2.0,7ª,Más de 50 años,En buen estado,1,,,,No,True,True,Otros,False,False,,,https://fotos.imghs.net/l/1060/181/1060_NI591-2181_11_2023032509281931250.jpg,29001.0,36.72034267,-4.41997511
malaga,https://www.pisos.com/comprar/atico-velez_malaga_nucleo_urbano29700-35023049491_108500/,184.500,Piso en venta en Calle Fuerzas Armadas,Casco Antiguo (Distrito Centro. Estepona),103.0,85.0,3.0,1.0,2ª,Entre 30 y 50 años,En buen estado,,Oeste,,Entre 40 y 60€,,False,False,,False,False,,,https://fotos.imghs.net/l/500652/30915375769.500652/500652_30915375769_12_20230116134548642.jpg,29680.0,36.42657668,-5.1463572
malaga,https://www.pisos.com/comprar/piso-torrox_torrox_costa-32582142869_998550/,170.000,Piso en venta en Huelin-La Princesa-Jardín de la Abadía,Huelin-La Princesa-Jardín de la Abadía (Distrito Carretera de Cádiz. Málaga Capital),69.0,,2.0,1.0,,,En buen estado,,,,,,True,False,,True,False,,,https://fotos.imghs.net/l/1002/826/1002_543826_7_2023042113040782645.jpeg,29001.0,36.72034267,-4.41997511
malaga,https://www.pisos.com/comprar/piso-alcorrin-32528091125_525603/,382.000,Estudio en venta en Carretera de Cádiz - Huelin,Huelin-La Princesa-Jardín de la Abadía (Distrito Carretera de Cádiz. Málaga Capital),165.0,,3.0,3.0,,,En buen estado,,,,,,False,True,"Si, sin especificar",False,False,,,https://fotos.imghs.net/l/1069/365/1069_I000328-P000365_1_2023021014214531250.jpg,29001.0,36.72034267,-4.41997511
malaga,https://www.pisos.com/comprar/piso-la_carihuela-34243973626_106700/,159.000,Piso en venta en Avenida de Nehemias,San Rafael-Tiro de Pichón (Distrito Cruz de Humilladero. Málaga Capital),98.0,,4.0,1.0,2ª,,En buen estado,,,,,,True,False,,True,False,,,https://fotos.imghs.net/l/1002/277/1002_546277_1_2023051018050750305.jpeg,29001.0,36.72034267,-4.41997511
malaga,https://www.pisos.com/comprar/duplex-estacion_de_cartama-32552938953_515138/,114.900,Piso en venta en Nueva Málaga-Miraflores,Nueva Málaga-Miraflores (Distrito Bailén-Miraflores. Málaga Capital),67.0,,2.0,1.0,,,En buen estado,,,,,,True,False,,True,False,,,https://fotos.imghs.net/l/1002/502/1002_537502_1_2023021719022799015.jpeg,29001.0,36.72034267,-4.41997511
malaga,https://www.pisos.com/comprar/apartamento-centro_puerto29680-32525175808_525603/,215.270,Piso en venta en Vélez-Málaga,Hispanidad-Vivar Téllez-Nuevas Urbanizaciones (Distrito Núcleo Urbano. Vélez-Málaga),106.0,106.0,3.0,2.0,2ª,,En buen estado,,,,,,False,True,Individual - gas,True,False,,,https://fotos.imghs.net/l/1060/335/1060_NI591-1335_3_2023042906302731250.jpg,29700.0,36.7827081,-4.10210923
malaga,https://www.pisos.com/comprar/apartamento-riviera_del_sol_miraflores-33359451757_100500/,450.000,Ático en venta en Los Pacos,Los Pacos (Fuengirola),197.0,138.0,3.0,2.0,,Entre 10 y 20 años,En buen estado,,,,,,True,False,,True,False,,,https://fotos.imghs.net/l/1067/536/1067_IFC281-0520478536_28_2023060210173931250.jpg,29640.0,36.53902839,-4.62378308
malaga,https://www.pisos.com/comprar/piso-plaza_de_toros_las_albarizas_la_ermita29601-33417659804_526042/,469.000,Casa adosada en venta en Calle Sicilia,Torrecilla-La Cañada (Distrito Centro. Marbella),185.0,,,,,,Reformado,,,,,,False,True,Central,False,True,Comunitaria,Adosada,https://fotos.imghs.net/l/1002/585/1002_541585_1_2023032417030838624.jpeg,29601.0,36.50963847,-4.88406637
malaga,https://www.pisos.com/comprar/piso-puerto_deportivo-21676466360_100500/,130.000,Piso en venta en La Luz-Virgen de Belén,La Luz-Virgen de Belén (Distrito Carretera de Cádiz. Málaga Capital),92.0,,3.0,1.0,3ª,,En buen estado,,,,,,False,False,,False,False,,,https://fotos.imghs.net/l/1002/176/1002_485176_1_2023051617050721537.jpeg,29001.0,36.72034267,-4.41997511
malaga,https://www.pisos.com/comprar/piso-artola-35034221214_107700/,1.650.000,Ático en venta en Calle Paula,Torreblanca del Sol (Fuengirola),260.0,,3.0,3.0,3ª,,,1,Suroeste,,Más de 100€,,True,False,,True,True,,,https://fotos.imghs.net/l/1005/099/1005_1848901910099_1_2023040417041458331.jpg,29640.0,36.53902839,-4.62378308
malaga,https://www.pisos.com/comprar/piso-san_pedro_pueblo29670-30882767216_100500/,195.000,Piso en venta en Calle de los Campillos,Centro (Torremolinos),94.0,94.0,3.0,2.0,5ª,Más de 50 años,En buen estado,,,,,,True,False,,True,False,,,https://fotos.imghs.net/l/1060/505/1060_NI263-2505_1_2023051606312931250.jpg,29620.0,36.62118405,-4.49759729
malaga,https://www.pisos.com/comprar/apartamento-la_alqueria_torrealqueria-33413020626_526233/,325.000,Piso en venta en Calle del Timón,Torrequebrada (Distrito Benalmádena Costa. Benalmádena),125.0,120.0,2.0,2.0,3ª,Entre 20 y 30 años,En buen estado,1,Sureste,,Más de 100€,Frío y calor,False,False,,True,True,Comunitaria,,https://fotos.imghs.net/l/525210/34255699356.525210/525210_34255699356_2_20230527184157664.jpg,29630.0,36.59306145,-4.57241989
