city,link,price,title,location,builtArea,usableArea,bedrooms,bathrooms,floor,age,condition,garage,orientation,energyCertificate,communityExpenses,airConditioning,elevator,houseHeating,houseHeatingType,terrace,swimmingPool,swimmingPoolType,houseType,photo,latitude,longitude
0,https://www.pisos.com/comprar/apartamento-urbanizacion_el_hacho_la_duquesa_golf-32599070233_100500/,136.0,Casa en venta en Calle La Republica,Humilladero,184.0,184.0,3.0,1.0,,Entre 10 y 20 años,A reformar,2,Suroeste,,Entre 60 y 80€,,0,0,,1,0,,,https://fotos.imghs.net/l/524881/24247832591.524881/524881_24247832591_4_20220525181837885.jpg,36.71583,-4.462908
0,https://www.pisos.com/comprar/piso-centro_casco_antiguo-29258078920_997608/,265.0,"Piso en venta en Calle Altabaca de La Torre, 4",Mijas Golf-Cala Golf (Mijas),140.0,137.0,3.0,2.0,1.0,Entre 5 y 10 años,En buen estado,1,A la montaña,,Más de 100€,Frío y calor,1,0,,1,1,Comunitaria,,https://fotos.imghs.net/l/515086/27559579789.515086/515086_27559579789_1_20220921123233868.jpg,36.54945,-4.685155
0,https://www.pisos.com/comprar/piso-el_consul_el_romeral_la_colonia_santa_ines29010-31669078297_100500/,,Dúplex en venta en Avenida del Pirata,El Padrón-El Velerín-Voladilla (Estepona),427.0,262.0,5.0,5.0,4.0,,En buen estado,,,,Más de 100€,,0,0,,0,0,,,https://fotos.imghs.net/l/1005/659/1005_3564659_1_2022113010110624846.jpg,36.515694,-4.887099
0,https://www.pisos.com/comprar/atico-manilva_san_luis_de_sabinillas-25087323337_100500/,182.0,Piso en venta en Avenida Infanta Elena,Torre del Mar (Vélez-Málaga),90.0,85.0,2.0,1.0,,,En buen estado,,Oeste,,Entre 60 y 80€,,1,0,,0,1,,,https://fotos.imghs.net/l/1005/525/1005_100630525_10_2023022722021886055.jpg,36.691275,-4.456479
0,https://www.pisos.com/comprar/chalet-la_gaspara_bahia_dorada_buenas_noches29693-31751507201_100500/,335.0,"Casa adosada en venta en Calle de la Vaguada, 48",Bel-Air-Cancelada-Saladillo (Estepona),214.0,200.0,4.0,4.0,,,,,,,,,0,0,,1,0,,Adosada,https://fotos.imghs.net/l/1005/603/1005_126104678603_1_2023011714011893568.jpg,36.463501,-5.054447
0,https://www.pisos.com/comprar/casa-mijas_pueblo_sierra29650-28429071265_101800/,295.0,Piso en venta en Calle de Ricardo Soriano,Casco Antiguo (Distrito Centro. Marbella),57.0,48.0,2.0,1.0,1.0,Entre 30 y 50 años,Reformado,,Sureste,,,Frío y calor,0,0,,1,0,,,https://fotos.imghs.net/l/997608/29257791989.997608/997608_29257791989_14_20221109133737557.jpg,36.71739,-4.454031
0,https://www.pisos.com/comprar/atico-cabopino_reserva_de_marbella-32595160845_100500/,345.0,Piso en venta en Avenida Editor Ángel Caffarena,Puertosol-El Limonero-El Tomillar (Distrito Puerto de la Torre. Málaga Capital),,,3.0,2.0,,,En buen estado,,,,,,1,0,,1,1,,,https://fotos.imghs.net/l/1067/504/1067_IFC76259-0520221504_1_2023030910192731250.jpg,36.691275,-4.456479
0,https://www.pisos.com/comprar/piso-nucleo_urbano_centro-32554278931_525495/,980.0,Piso en venta en Calle del Nogal,Calaburras-El Chaparral (Distrito Mijas Costa. Mijas),167.0,,4.0,2.0,3.0,,En buen estado,1,,,,Frío,1,1,Central,1,1,Comunitaria,,https://fotos.imghs.net/l/1018/103/1018_31872103_2_2022090611094310216.jpg,36.725892,-4.41449
0,https://www.pisos.com/comprar/casa_pareada-manantiales_cortijo_zapata-32580958788_997484/,265.0,"Piso en venta en Urbanización Tubalitas, 1",Alcorrín (Manilva),89.0,75.0,2.0,2.0,1.0,Menos de 5 años,En buen estado,1,Sureste,,Entre 80 y 100€,Frío y calor,1,0,,1,1,Comunitaria,,https://fotos.imghs.net/l/524203/31704892587.524203/524203_31704892587_11_20230201214706893.jpg,36.691878,-4.4505
0,https://www.pisos.com/comprar/casa-churriana_el_pizarrillo_la_noria_guadalsol29140-32595355272_996429/,195.0,"Piso en venta en Calle Green, 10",Rincón (Rincón de la Victoria),72.0,68.0,2.0,2.0,1.0,Entre 10 y 20 años,En buen estado,1,Sureste,,,,1,0,,1,1,Comunitaria,,https://fotos.imghs.net/l/516902/18385265866.516902/516902_18385265866_2_20211025202654317.jpg,36.500686,-4.697516
