city,link,price,title,location,builtArea,usableArea,bedrooms,bathrooms,floor,age,condition,garage,orientation,energyCertificate,communityExpenses,airConditioning,elevator,houseHeating,houseHeatingType,terrace,swimmingPool,swimmingPoolType,houseType,photo,latitude,longitude,geometry
1,https://www.pisos.com/alquilar/piso-villaverde_san_andres28021-31688576684_107500/,780.0,Piso en alquiler en Calle del Arroyo Bueno,San Andrés (Distrito Villaverde. Madrid Capital),68.0,,2.0,1.0,,,En buen estado,,,,,,0,0,,0,0,,,https://fotos.imghs.net/l/1075/100/1075_SOL6-CG-72857-0001_A_1_2023021512010731250.jpg,40.348801,-3.708228,POINT (-3.708228 40.348801)
1,https://www.pisos.com/alquilar/piso-moratalaz_media_legua28030-30884675700_101800/,1100.0,"Piso en alquiler en Calle del Arroyo de la Media Legua, cerca de Camino de los Vinateros",Media Legua (Distrito Moratalaz. Madrid Capital),70.0,,3.0,1.0,,,En buen estado,,Suroeste,,,,1,1,Central,1,0,,,https://fotos.imghs.net/l/1018/953/1018_32929953_0_2023011111013928712.jpg,40.469191,-3.70132,POINT (-3.70132 40.469191)
1,https://www.pisos.com/alquilar/piso-san_blas_amposta-31667747522_100500/,900.0,Piso en alquiler en Calle del Arrozal,Amposta (Distrito San Blas. Madrid Capital),56.0,,3.0,1.0,1.0,,En buen estado,,,,,,0,0,,0,0,,,https://fotos.imghs.net/l/1005/166/1005_2001_20010001_1166_1_2023022216022333469.jpeg,40.462564,-3.653116,POINT (-3.653116 40.462564)
1,https://www.pisos.com/alquilar/piso-costillares-32537864956_100500/,1300.0,"Piso en alquiler en Calle del Arte, 13",Costillares (Distrito Ciudad Lineal. Madrid Capital),86.0,72.0,2.0,2.0,,,En buen estado,,Sur,,,,1,0,,0,1,,,https://fotos.imghs.net/l/1005/982/1005_100824982_1_2023033022030294917.jpg,40.062171,-3.606286,POINT (-3.606286 40.062171)
1,https://www.pisos.com/alquilar/piso-puerta_bonita28025-32548859607_100500/,820.0,Piso en alquiler en Calle del Atlético de Madrid,Puerta Bonita (Distrito Carabanchel. Madrid Capital),55.0,,3.0,1.0,3.0,,En buen estado,,,,,,0,0,,1,0,,,https://fotos.imghs.net/l/1005/231/1005_2110_21100022_231_1_2023030713034225670.jpeg,40.462564,-3.653116,POINT (-3.653116 40.462564)
1,https://www.pisos.com/alquilar/piso-cortes_huertas28012-945856909871471_109800/,830.0,"Piso en alquiler en Calle del Ave María, 25",Cortes-Huertas (Distrito Centro. Madrid Capital),,55.0,1.0,1.0,3.0,Más de 50 años,,,,,,,1,0,,0,0,,,https://fotos.imghs.net/l/1098/471/1098_0_foto_20210614195440302_945856909871471.jpg,40.410551,-3.700765,POINT (-3.700765 40.410551)
1,https://www.pisos.com/alquilar/piso-centro_embajadores_lavapies28012-31755660040_100500/,1000.0,"Piso en alquiler en Calle del Ave María, cerca de Calle de los Tres Peces",Embajadores-Lavapiés (Distrito Centro. Madrid Capital),50.0,46.0,3.0,1.0,1.0,,En buen estado,,,,,,1,1,,0,0,,,https://fotos.imghs.net/l/1005/288/1005_3672288_1_2023022013020496525.jpg,40.410072,-3.700899,POINT (-3.700899 40.410072)
0,https://www.pisos.com/alquilar/piso-balsareny_centro_urbano08660-32525635926_101300/,575.0,Piso en alquiler en Calle del Bages,Balsareny,126.0,100.0,3.0,2.0,,Entre 20 y 30 años,En buen estado,,Sur,,,,0,1,,0,0,,,https://fotos.imghs.net/l/1013/112/1013_inmo_3287655_318112_11_2023032107152831250.jpg,41.3827,2.175664,POINT (2.175664 41.3827)
0,https://www.pisos.com/alquilar/piso-balsareny_centro_urbano-32525635926_101300/,575.0,"Piso en alquiler en Calle del Bages, 14",Balsareny,126.0,100.0,3.0,2.0,,Entre 20 y 30 años,En buen estado,,Sur,,,,0,1,,0,0,,,https://fotos.imghs.net/l/1013/112/1013_inmo_3287655_318112_11_2023032307173431250.jpg,41.556903,2.303207,POINT (2.303207 41.556903)
1,https://www.pisos.com/alquilar/piso-justicia_chueca28004-28355435970_996542/,4500.0,Piso en alquiler en Calle del Barquillo,Justicia-Chueca (Distrito Centro. Madrid Capital),132.0,130.0,2.0,2.0,2.0,Más de 50 años,Reformado,1,Este,,,Frío,1,1,Gas natural,0,0,,,https://fotos.imghs.net/l/996542/28355435970.996542/996542_28355435970_4_20221006203853341.jpg,40.420485,-3.695792,POINT (-3.695792 40.420485)
